Cohort,CaptureYear,CaptureCov,CaptureSwitch,NPOPS,Comps
2007,2011,10,1,0,42080
2008,2011,10,1,0,30816
2009,2011,10,1,0,28032
2010,2011,10,1,0,28896
2003,2012,10,1,0,10536
2004,2012,10,1,0,10600
2005,2012,10,1,0,10848
2006,2012,10,1,0,10776
2007,2012,10,1,0,10520
2008,2012,10,1,0,7704
2009,2012,10,1,0,7008
2010,2012,10,1,0,7224
2011,2012,10,1,0,7192
2003,2013,10,1,0,25023
2004,2013,10,1,0,25175
2005,2013,10,1,0,25764
2006,2013,10,1,0,25593
2007,2013,10,1,0,24985
2008,2013,10,1,0,18297
2009,2013,10,1,0,16644
2010,2013,10,1,0,17157
2011,2013,10,1,0,17081
2012,2013,10,1,0,18107
2003,2014,10,1,0,22389
2004,2014,10,1,0,22525
2005,2014,10,1,0,23052
2006,2014,10,1,0,22899
2007,2014,10,1,0,22355
2008,2014,10,1,0,16371
2009,2014,10,1,0,14892
2010,2014,10,1,0,15351
2011,2014,10,1,0,15283
2012,2014,10,1,0,16201
2013,2014,10,1,0,14518
2003,2016,10,1,0,21072
2004,2016,10,1,0,21200
2005,2016,10,1,0,21696
2006,2016,10,1,0,21552
2007,2016,10,1,0,21040
2008,2016,10,1,0,15408
2009,2016,10,1,0,14016
2010,2016,10,1,0,14448
2011,2016,10,1,0,14384
2012,2016,10,1,0,15248
2013,2016,10,1,0,13664
2014,2016,10,1,0,15168
2015,2016,10,1,0,12096
2003,2017,10,1,0,18438
2004,2017,10,1,0,18550
2005,2017,10,1,0,18984
2006,2017,10,1,0,18858
2007,2017,10,1,0,18410
2008,2017,10,1,0,13482
2009,2017,10,1,0,12264
2010,2017,10,1,0,12642
2011,2017,10,1,0,12586
2012,2017,10,1,0,13342
2013,2017,10,1,0,11956
2014,2017,10,1,0,13272
2015,2017,10,1,0,10584
2016,2017,10,1,0,20286
2003,2018,10,1,0,9219
2004,2018,10,1,0,9275
2005,2018,10,1,0,9492
2006,2018,10,1,0,9429
2007,2018,10,1,0,9205
2008,2018,10,1,0,6741
2009,2018,10,1,0,6132
2010,2018,10,1,0,6321
2011,2018,10,1,0,6293
2012,2018,10,1,0,6671
2013,2018,10,1,0,5978
2014,2018,10,1,0,6636
2015,2018,10,1,0,5292
2016,2018,10,1,0,10143
2017,2018,10,1,0,10584
2003,2019,10,1,0,15804
2004,2019,10,1,0,15900
2005,2019,10,1,0,16272
2006,2019,10,1,0,16164
2007,2019,10,1,0,15780
2008,2019,10,1,0,11556
2009,2019,10,1,0,10512
2010,2019,10,1,0,10836
2011,2019,10,1,0,10788
2012,2019,10,1,0,11436
2013,2019,10,1,0,10248
2014,2019,10,1,0,11376
2015,2019,10,1,0,9072
2016,2019,10,1,0,17388
2017,2019,10,1,0,18144
2018,2019,10,1,0,16608
2003,2020,10,1,0,11853
2004,2020,10,1,0,11925
2005,2020,10,1,0,12204
2006,2020,10,1,0,12123
2007,2020,10,1,0,11835
2008,2020,10,1,0,8667
2009,2020,10,1,0,7884
2010,2020,10,1,0,8127
2011,2020,10,1,0,8091
2012,2020,10,1,0,8577
2013,2020,10,1,0,7686
2014,2020,10,1,0,8532
2015,2020,10,1,0,6804
2016,2020,10,1,0,13041
2017,2020,10,1,0,13608
2018,2020,10,1,0,12456
2019,2020,10,1,0,10584
2003,2021,10,1,0,10536
2004,2021,10,1,0,10600
2005,2021,10,1,0,10848
2006,2021,10,1,0,10776
2007,2021,10,1,0,10520
2008,2021,10,1,0,7704
2009,2021,10,1,0,7008
2010,2021,10,1,0,7224
2011,2021,10,1,0,7192
2012,2021,10,1,0,7624
2013,2021,10,1,0,6832
2014,2021,10,1,0,7584
2015,2021,10,1,0,6048
2016,2021,10,1,0,11592
2017,2021,10,1,0,12096
2018,2021,10,1,0,11072
2019,2021,10,1,0,9408
2020,2021,10,1,0,9144
2008,2010,10,1,0,18297
2009,2010,10,1,0,16644
2003,2011,10,1,0,15804
2004,2011,10,1,0,15900
2005,2011,10,1,0,16272
2006,2011,10,1,0,16164
2007,2011,10,1,0,15780
2008,2011,10,1,0,11556
2009,2011,10,1,0,10512
2010,2011,10,1,0,10836
2003,2012,10,1,0,23706
2004,2012,10,1,0,23850
2005,2012,10,1,0,24408
2006,2012,10,1,0,24246
2007,2012,10,1,0,23670
2008,2012,10,1,0,17334
2009,2012,10,1,0,15768
2010,2012,10,1,0,16254
2011,2012,10,1,0,16182
2003,2013,10,1,0,17121
2004,2013,10,1,0,17225
2005,2013,10,1,0,17628
2006,2013,10,1,0,17511
2007,2013,10,1,0,17095
2008,2013,10,1,0,12519
2009,2013,10,1,0,11388
2010,2013,10,1,0,11739
2011,2013,10,1,0,11687
2012,2013,10,1,0,12389
2003,2014,10,1,0,17121
2004,2014,10,1,0,17225
2005,2014,10,1,0,17628
2006,2014,10,1,0,17511
2007,2014,10,1,0,17095
2008,2014,10,1,0,12519
2009,2014,10,1,0,11388
2010,2014,10,1,0,11739
2011,2014,10,1,0,11687
2012,2014,10,1,0,12389
2013,2014,10,1,0,11102
2003,2016,10,1,0,23706
2004,2016,10,1,0,23850
2005,2016,10,1,0,24408
2006,2016,10,1,0,24246
2007,2016,10,1,0,23670
2008,2016,10,1,0,17334
2009,2016,10,1,0,15768
2010,2016,10,1,0,16254
2011,2016,10,1,0,16182
2012,2016,10,1,0,17154
2013,2016,10,1,0,15372
2014,2016,10,1,0,17064
2015,2016,10,1,0,13608
2003,2017,10,1,0,9219
2004,2017,10,1,0,9275
2005,2017,10,1,0,9492
2006,2017,10,1,0,9429
2007,2017,10,1,0,9205
2008,2017,10,1,0,6741
2009,2017,10,1,0,6132
2010,2017,10,1,0,6321
2011,2017,10,1,0,6293
2012,2017,10,1,0,6671
2013,2017,10,1,0,5978
2014,2017,10,1,0,6636
2015,2017,10,1,0,5292
2016,2017,10,1,0,10143
2003,2018,10,1,0,1317
2004,2018,10,1,0,1325
2005,2018,10,1,0,1356
2006,2018,10,1,0,1347
2007,2018,10,1,0,1315
2008,2018,10,1,0,963
2009,2018,10,1,0,876
2010,2018,10,1,0,903
2011,2018,10,1,0,899
2012,2018,10,1,0,953
2013,2018,10,1,0,854
2014,2018,10,1,0,948
2015,2018,10,1,0,756
2016,2018,10,1,0,1449
2017,2018,10,1,0,1512
2003,2019,10,1,0,13170
2004,2019,10,1,0,13250
2005,2019,10,1,0,13560
2006,2019,10,1,0,13470
2007,2019,10,1,0,13150
2008,2019,10,1,0,9630
2009,2019,10,1,0,8760
2010,2019,10,1,0,9030
2011,2019,10,1,0,8990
2012,2019,10,1,0,9530
2013,2019,10,1,0,8540
2014,2019,10,1,0,9480
2015,2019,10,1,0,7560
2016,2019,10,1,0,14490
2017,2019,10,1,0,15120
2018,2019,10,1,0,13840
2003,2020,10,1,0,6585
2004,2020,10,1,0,6625
2005,2020,10,1,0,6780
2006,2020,10,1,0,6735
2007,2020,10,1,0,6575
2008,2020,10,1,0,4815
2009,2020,10,1,0,4380
2010,2020,10,1,0,4515
2011,2020,10,1,0,4495
2012,2020,10,1,0,4765
2013,2020,10,1,0,4270
2014,2020,10,1,0,4740
2015,2020,10,1,0,3780
2016,2020,10,1,0,7245
2017,2020,10,1,0,7560
2018,2020,10,1,0,6920
2019,2020,10,1,0,5880
2003,2021,10,1,0,7902
2004,2021,10,1,0,7950
2005,2021,10,1,0,8136
2006,2021,10,1,0,8082
2007,2021,10,1,0,7890
2008,2021,10,1,0,5778
2009,2021,10,1,0,5256
2010,2021,10,1,0,5418
2011,2021,10,1,0,5394
2012,2021,10,1,0,5718
2013,2021,10,1,0,5124
2014,2021,10,1,0,5688
2015,2021,10,1,0,4536
2016,2021,10,1,0,8694
2017,2021,10,1,0,9072
2018,2021,10,1,0,8304
2019,2021,10,1,0,7056
2020,2021,10,1,0,6858
2008,2010,10,1,0,7704
2009,2010,10,1,0,7008
2003,2011,10,1,0,17121
2004,2011,10,1,0,17225
2005,2011,10,1,0,17628
2006,2011,10,1,0,17511
2007,2011,10,1,0,17095
2008,2011,10,1,0,12519
2009,2011,10,1,0,11388
2010,2011,10,1,0,11739
2003,2012,10,1,0,21072
2004,2012,10,1,0,21200
2005,2012,10,1,0,21696
2006,2012,10,1,0,21552
2007,2012,10,1,0,21040
2008,2012,10,1,0,15408
2009,2012,10,1,0,14016
2010,2012,10,1,0,14448
2011,2012,10,1,0,14384
2003,2013,10,1,0,10536
2004,2013,10,1,0,10600
2005,2013,10,1,0,10848
2006,2013,10,1,0,10776
2007,2013,10,1,0,10520
2008,2013,10,1,0,7704
2009,2013,10,1,0,7008
2010,2013,10,1,0,7224
2011,2013,10,1,0,7192
2012,2013,10,1,0,7624
2003,2014,10,1,0,7902
2004,2014,10,1,0,7950
2005,2014,10,1,0,8136
2006,2014,10,1,0,8082
2007,2014,10,1,0,7890
2008,2014,10,1,0,5778
2009,2014,10,1,0,5256
2010,2014,10,1,0,5418
2011,2014,10,1,0,5394
2012,2014,10,1,0,5718
2013,2014,10,1,0,5124
2003,2016,10,1,0,30291
2004,2016,10,1,0,30475
2005,2016,10,1,0,31188
2006,2016,10,1,0,30981
2007,2016,10,1,0,30245
2008,2016,10,1,0,22149
2009,2016,10,1,0,20148
2010,2016,10,1,0,20769
2011,2016,10,1,0,20677
2012,2016,10,1,0,21919
2013,2016,10,1,0,19642
2014,2016,10,1,0,21804
2015,2016,10,1,0,17388
2003,2017,10,1,0,18438
2004,2017,10,1,0,18550
2005,2017,10,1,0,18984
2006,2017,10,1,0,18858
2007,2017,10,1,0,18410
2008,2017,10,1,0,13482
2009,2017,10,1,0,12264
2010,2017,10,1,0,12642
2011,2017,10,1,0,12586
2012,2017,10,1,0,13342
2013,2017,10,1,0,11956
2014,2017,10,1,0,13272
2015,2017,10,1,0,10584
2016,2017,10,1,0,20286
2003,2019,10,1,0,7902
2004,2019,10,1,0,7950
2005,2019,10,1,0,8136
2006,2019,10,1,0,8082
2007,2019,10,1,0,7890
2008,2019,10,1,0,5778
2009,2019,10,1,0,5256
2010,2019,10,1,0,5418
2011,2019,10,1,0,5394
2012,2019,10,1,0,5718
2013,2019,10,1,0,5124
2014,2019,10,1,0,5688
2015,2019,10,1,0,4536
2016,2019,10,1,0,8694
2017,2019,10,1,0,9072
2018,2019,10,1,0,8304
2003,2020,10,1,0,2634
2004,2020,10,1,0,2650
2005,2020,10,1,0,2712
2006,2020,10,1,0,2694
2007,2020,10,1,0,2630
2008,2020,10,1,0,1926
2009,2020,10,1,0,1752
2010,2020,10,1,0,1806
2011,2020,10,1,0,1798
2012,2020,10,1,0,1906
2013,2020,10,1,0,1708
2014,2020,10,1,0,1896
2015,2020,10,1,0,1512
2016,2020,10,1,0,2898
2017,2020,10,1,0,3024
2018,2020,10,1,0,2768
2019,2020,10,1,0,2352
2003,2021,10,1,0,1317
2004,2021,10,1,0,1325
2005,2021,10,1,0,1356
2006,2021,10,1,0,1347
2007,2021,10,1,0,1315
2008,2021,10,1,0,963
2009,2021,10,1,0,876
2010,2021,10,1,0,903
2011,2021,10,1,0,899
2012,2021,10,1,0,953
2013,2021,10,1,0,854
2014,2021,10,1,0,948
2015,2021,10,1,0,756
2016,2021,10,1,0,1449
2017,2021,10,1,0,1512
2018,2021,10,1,0,1384
2019,2021,10,1,0,1176
2020,2021,10,1,0,1143
2008,2010,10,1,0,12519
2009,2010,10,1,0,11388
2003,2011,10,1,0,10536
2004,2011,10,1,0,10600
2005,2011,10,1,0,10848
2006,2011,10,1,0,10776
2007,2011,10,1,0,10520
2008,2011,10,1,0,7704
2009,2011,10,1,0,7008
2010,2011,10,1,0,7224
2003,2012,10,1,0,19755
2004,2012,10,1,0,19875
2005,2012,10,1,0,20340
2006,2012,10,1,0,20205
2007,2012,10,1,0,19725
2008,2012,10,1,0,14445
2009,2012,10,1,0,13140
2010,2012,10,1,0,13545
2011,2012,10,1,0,13485
2003,2013,10,1,0,10536
2004,2013,10,1,0,10600
2005,2013,10,1,0,10848
2006,2013,10,1,0,10776
2007,2013,10,1,0,10520
2008,2013,10,1,0,7704
2009,2013,10,1,0,7008
2010,2013,10,1,0,7224
2011,2013,10,1,0,7192
2012,2013,10,1,0,7624
2003,2014,10,1,0,2634
2004,2014,10,1,0,2650
2005,2014,10,1,0,2712
2006,2014,10,1,0,2694
2007,2014,10,1,0,2630
2008,2014,10,1,0,1926
2009,2014,10,1,0,1752
2010,2014,10,1,0,1806
2011,2014,10,1,0,1798
2012,2014,10,1,0,1906
2013,2014,10,1,0,1708
2003,2016,10,1,0,18438
2004,2016,10,1,0,18550
2005,2016,10,1,0,18984
2006,2016,10,1,0,18858
2007,2016,10,1,0,18410
2008,2016,10,1,0,13482
2009,2016,10,1,0,12264
2010,2016,10,1,0,12642
2011,2016,10,1,0,12586
2012,2016,10,1,0,13342
2013,2016,10,1,0,11956
2014,2016,10,1,0,13272
2015,2016,10,1,0,10584
2003,2017,10,1,0,18438
2004,2017,10,1,0,18550
2005,2017,10,1,0,18984
2006,2017,10,1,0,18858
2007,2017,10,1,0,18410
2008,2017,10,1,0,13482
2009,2017,10,1,0,12264
2010,2017,10,1,0,12642
2011,2017,10,1,0,12586
2012,2017,10,1,0,13342
2013,2017,10,1,0,11956
2014,2017,10,1,0,13272
2015,2017,10,1,0,10584
2016,2017,10,1,0,20286
2003,2019,10,1,0,9219
2004,2019,10,1,0,9275
2005,2019,10,1,0,9492
2006,2019,10,1,0,9429
2007,2019,10,1,0,9205
2008,2019,10,1,0,6741
2009,2019,10,1,0,6132
2010,2019,10,1,0,6321
2011,2019,10,1,0,6293
2012,2019,10,1,0,6671
2013,2019,10,1,0,5978
2014,2019,10,1,0,6636
2015,2019,10,1,0,5292
2016,2019,10,1,0,10143
2017,2019,10,1,0,10584
2018,2019,10,1,0,9688
2003,2021,10,1,0,5268
2004,2021,10,1,0,5300
2005,2021,10,1,0,5424
2006,2021,10,1,0,5388
2007,2021,10,1,0,5260
2008,2021,10,1,0,3852
2009,2021,10,1,0,3504
2010,2021,10,1,0,3612
2011,2021,10,1,0,3596
2012,2021,10,1,0,3812
2013,2021,10,1,0,3416
2014,2021,10,1,0,3792
2015,2021,10,1,0,3024
2016,2021,10,1,0,5796
2017,2021,10,1,0,6048
2018,2021,10,1,0,5536
2019,2021,10,1,0,4704
2020,2021,10,1,0,4572
2008,2010,11,1,0,3852
2009,2010,11,1,0,3504
2003,2011,11,1,0,9219
2004,2011,11,1,0,9275
2005,2011,11,1,0,9492
2006,2011,11,1,0,9429
2007,2011,11,1,0,9205
2008,2011,11,1,0,6741
2009,2011,11,1,0,6132
2010,2011,11,1,0,6321
2003,2012,11,1,0,21072
2004,2012,11,1,0,21200
2005,2012,11,1,0,21696
2006,2012,11,1,0,21552
2007,2012,11,1,0,21040
2008,2012,11,1,0,15408
2009,2012,11,1,0,14016
2010,2012,11,1,0,14448
2011,2012,11,1,0,14384
2003,2013,11,1,0,17121
2004,2013,11,1,0,17225
2005,2013,11,1,0,17628
2006,2013,11,1,0,17511
2007,2013,11,1,0,17095
2008,2013,11,1,0,12519
2009,2013,11,1,0,11388
2010,2013,11,1,0,11739
2011,2013,11,1,0,11687
2012,2013,11,1,0,12389
2003,2014,11,1,0,7902
2004,2014,11,1,0,7950
2005,2014,11,1,0,8136
2006,2014,11,1,0,8082
2007,2014,11,1,0,7890
2008,2014,11,1,0,5778
2009,2014,11,1,0,5256
2010,2014,11,1,0,5418
2011,2014,11,1,0,5394
2012,2014,11,1,0,5718
2013,2014,11,1,0,5124
2003,2016,11,1,0,15804
2004,2016,11,1,0,15900
2005,2016,11,1,0,16272
2006,2016,11,1,0,16164
2007,2016,11,1,0,15780
2008,2016,11,1,0,11556
2009,2016,11,1,0,10512
2010,2016,11,1,0,10836
2011,2016,11,1,0,10788
2012,2016,11,1,0,11436
2013,2016,11,1,0,10248
2014,2016,11,1,0,11376
2015,2016,11,1,0,9072
2003,2017,11,1,0,5268
2004,2017,11,1,0,5300
2005,2017,11,1,0,5424
2006,2017,11,1,0,5388
2007,2017,11,1,0,5260
2008,2017,11,1,0,3852
2009,2017,11,1,0,3504
2010,2017,11,1,0,3612
2011,2017,11,1,0,3596
2012,2017,11,1,0,3812
2013,2017,11,1,0,3416
2014,2017,11,1,0,3792
2015,2017,11,1,0,3024
2016,2017,11,1,0,5796
2003,2018,11,1,0,2634
2004,2018,11,1,0,2650
2005,2018,11,1,0,2712
2006,2018,11,1,0,2694
2007,2018,11,1,0,2630
2008,2018,11,1,0,1926
2009,2018,11,1,0,1752
2010,2018,11,1,0,1806
2011,2018,11,1,0,1798
2012,2018,11,1,0,1906
2013,2018,11,1,0,1708
2014,2018,11,1,0,1896
2015,2018,11,1,0,1512
2016,2018,11,1,0,2898
2017,2018,11,1,0,3024
2003,2019,11,1,0,2634
2004,2019,11,1,0,2650
2005,2019,11,1,0,2712
2006,2019,11,1,0,2694
2007,2019,11,1,0,2630
2008,2019,11,1,0,1926
2009,2019,11,1,0,1752
2010,2019,11,1,0,1806
2011,2019,11,1,0,1798
2012,2019,11,1,0,1906
2013,2019,11,1,0,1708
2014,2019,11,1,0,1896
2015,2019,11,1,0,1512
2016,2019,11,1,0,2898
2017,2019,11,1,0,3024
2018,2019,11,1,0,2768
2003,2020,11,1,0,1317
2004,2020,11,1,0,1325
2005,2020,11,1,0,1356
2006,2020,11,1,0,1347
2007,2020,11,1,0,1315
2008,2020,11,1,0,963
2009,2020,11,1,0,876
2010,2020,11,1,0,903
2011,2020,11,1,0,899
2012,2020,11,1,0,953
2013,2020,11,1,0,854
2014,2020,11,1,0,948
2015,2020,11,1,0,756
2016,2020,11,1,0,1449
2017,2020,11,1,0,1512
2018,2020,11,1,0,1384
2019,2020,11,1,0,1176
2003,2021,11,1,0,6585
2004,2021,11,1,0,6625
2005,2021,11,1,0,6780
2006,2021,11,1,0,6735
2007,2021,11,1,0,6575
2008,2021,11,1,0,4815
2009,2021,11,1,0,4380
2010,2021,11,1,0,4515
2011,2021,11,1,0,4495
2012,2021,11,1,0,4765
2013,2021,11,1,0,4270
2014,2021,11,1,0,4740
2015,2021,11,1,0,3780
2016,2021,11,1,0,7245
2017,2021,11,1,0,7560
2018,2021,11,1,0,6920
2019,2021,11,1,0,5880
2020,2021,11,1,0,5715
2008,2010,11,1,0,11556
2009,2010,11,1,0,10512
2003,2011,11,1,0,11853
2004,2011,11,1,0,11925
2005,2011,11,1,0,12204
2006,2011,11,1,0,12123
2007,2011,11,1,0,11835
2008,2011,11,1,0,8667
2009,2011,11,1,0,7884
2010,2011,11,1,0,8127
2003,2012,11,1,0,14487
2004,2012,11,1,0,14575
2005,2012,11,1,0,14916
2006,2012,11,1,0,14817
2007,2012,11,1,0,14465
2008,2012,11,1,0,10593
2009,2012,11,1,0,9636
2010,2012,11,1,0,9933
2011,2012,11,1,0,9889
2003,2013,11,1,0,1317
2004,2013,11,1,0,1325
2005,2013,11,1,0,1356
2006,2013,11,1,0,1347
2007,2013,11,1,0,1315
2008,2013,11,1,0,963
2009,2013,11,1,0,876
2010,2013,11,1,0,903
2011,2013,11,1,0,899
2012,2013,11,1,0,953
2003,2014,11,1,0,2634
2004,2014,11,1,0,2650
2005,2014,11,1,0,2712
2006,2014,11,1,0,2694
2007,2014,11,1,0,2630
2008,2014,11,1,0,1926
2009,2014,11,1,0,1752
2010,2014,11,1,0,1806
2011,2014,11,1,0,1798
2012,2014,11,1,0,1906
2013,2014,11,1,0,1708
2003,2016,11,1,0,13170
2004,2016,11,1,0,13250
2005,2016,11,1,0,13560
2006,2016,11,1,0,13470
2007,2016,11,1,0,13150
2008,2016,11,1,0,9630
2009,2016,11,1,0,8760
2010,2016,11,1,0,9030
2011,2016,11,1,0,8990
2012,2016,11,1,0,9530
2013,2016,11,1,0,8540
2014,2016,11,1,0,9480
2015,2016,11,1,0,7560
2003,2017,11,1,0,5268
2004,2017,11,1,0,5300
2005,2017,11,1,0,5424
2006,2017,11,1,0,5388
2007,2017,11,1,0,5260
2008,2017,11,1,0,3852
2009,2017,11,1,0,3504
2010,2017,11,1,0,3612
2011,2017,11,1,0,3596
2012,2017,11,1,0,3812
2013,2017,11,1,0,3416
2014,2017,11,1,0,3792
2015,2017,11,1,0,3024
2016,2017,11,1,0,5796
2003,2020,11,1,0,1317
2004,2020,11,1,0,1325
2005,2020,11,1,0,1356
2006,2020,11,1,0,1347
2007,2020,11,1,0,1315
2008,2020,11,1,0,963
2009,2020,11,1,0,876
2010,2020,11,1,0,903
2011,2020,11,1,0,899
2012,2020,11,1,0,953
2013,2020,11,1,0,854
2014,2020,11,1,0,948
2015,2020,11,1,0,756
2016,2020,11,1,0,1449
2017,2020,11,1,0,1512
2018,2020,11,1,0,1384
2019,2020,11,1,0,1176
2003,2021,11,1,0,1317
2004,2021,11,1,0,1325
2005,2021,11,1,0,1356
2006,2021,11,1,0,1347
2007,2021,11,1,0,1315
2008,2021,11,1,0,963
2009,2021,11,1,0,876
2010,2021,11,1,0,903
2011,2021,11,1,0,899
2012,2021,11,1,0,953
2013,2021,11,1,0,854
2014,2021,11,1,0,948
2015,2021,11,1,0,756
2016,2021,11,1,0,1449
2017,2021,11,1,0,1512
2018,2021,11,1,0,1384
2019,2021,11,1,0,1176
2020,2021,11,1,0,1143
2008,2010,11,1,0,5778
2009,2010,11,1,0,5256
2003,2011,11,1,0,1317
2004,2011,11,1,0,1325
2005,2011,11,1,0,1356
2006,2011,11,1,0,1347
2007,2011,11,1,0,1315
2008,2011,11,1,0,963
2009,2011,11,1,0,876
2010,2011,11,1,0,903
2003,2012,11,1,0,9219
2004,2012,11,1,0,9275
2005,2012,11,1,0,9492
2006,2012,11,1,0,9429
2007,2012,11,1,0,9205
2008,2012,11,1,0,6741
2009,2012,11,1,0,6132
2010,2012,11,1,0,6321
2011,2012,11,1,0,6293
2003,2013,11,1,0,6585
2004,2013,11,1,0,6625
2005,2013,11,1,0,6780
2006,2013,11,1,0,6735
2007,2013,11,1,0,6575
2008,2013,11,1,0,4815
2009,2013,11,1,0,4380
2010,2013,11,1,0,4515
2011,2013,11,1,0,4495
2012,2013,11,1,0,4765
2003,2014,11,1,0,5268
2004,2014,11,1,0,5300
2005,2014,11,1,0,5424
2006,2014,11,1,0,5388
2007,2014,11,1,0,5260
2008,2014,11,1,0,3852
2009,2014,11,1,0,3504
2010,2014,11,1,0,3612
2011,2014,11,1,0,3596
2012,2014,11,1,0,3812
2013,2014,11,1,0,3416
2003,2016,11,1,0,7902
2004,2016,11,1,0,7950
2005,2016,11,1,0,8136
2006,2016,11,1,0,8082
2007,2016,11,1,0,7890
2008,2016,11,1,0,5778
2009,2016,11,1,0,5256
2010,2016,11,1,0,5418
2011,2016,11,1,0,5394
2012,2016,11,1,0,5718
2013,2016,11,1,0,5124
2014,2016,11,1,0,5688
2015,2016,11,1,0,4536
2003,2017,11,1,0,1317
2004,2017,11,1,0,1325
2005,2017,11,1,0,1356
2006,2017,11,1,0,1347
2007,2017,11,1,0,1315
2008,2017,11,1,0,963
2009,2017,11,1,0,876
2010,2017,11,1,0,903
2011,2017,11,1,0,899
2012,2017,11,1,0,953
2013,2017,11,1,0,854
2014,2017,11,1,0,948
2015,2017,11,1,0,756
2016,2017,11,1,0,1449
2003,2019,11,1,0,11853
2004,2019,11,1,0,11925
2005,2019,11,1,0,12204
2006,2019,11,1,0,12123
2007,2019,11,1,0,11835
2008,2019,11,1,0,8667
2009,2019,11,1,0,7884
2010,2019,11,1,0,8127
2011,2019,11,1,0,8091
2012,2019,11,1,0,8577
2013,2019,11,1,0,7686
2014,2019,11,1,0,8532
2015,2019,11,1,0,6804
2016,2019,11,1,0,13041
2017,2019,11,1,0,13608
2018,2019,11,1,0,12456
2008,2010,11,1,0,5778
2009,2010,11,1,0,5256
2003,2012,11,1,0,7902
2004,2012,11,1,0,7950
2005,2012,11,1,0,8136
2006,2012,11,1,0,8082
2007,2012,11,1,0,7890
2008,2012,11,1,0,5778
2009,2012,11,1,0,5256
2010,2012,11,1,0,5418
2011,2012,11,1,0,5394
2003,2013,11,1,0,5268
2004,2013,11,1,0,5300
2005,2013,11,1,0,5424
2006,2013,11,1,0,5388
2007,2013,11,1,0,5260
2008,2013,11,1,0,3852
2009,2013,11,1,0,3504
2010,2013,11,1,0,3612
2011,2013,11,1,0,3596
2012,2013,11,1,0,3812
2003,2016,11,1,0,13170
2004,2016,11,1,0,13250
2005,2016,11,1,0,13560
2006,2016,11,1,0,13470
2007,2016,11,1,0,13150
2008,2016,11,1,0,9630
2009,2016,11,1,0,8760
2010,2016,11,1,0,9030
2011,2016,11,1,0,8990
2012,2016,11,1,0,9530
2013,2016,11,1,0,8540
2014,2016,11,1,0,9480
2015,2016,11,1,0,7560
2003,2017,11,1,0,15804
2004,2017,11,1,0,15900
2005,2017,11,1,0,16272
2006,2017,11,1,0,16164
2007,2017,11,1,0,15780
2008,2017,11,1,0,11556
2009,2017,11,1,0,10512
2010,2017,11,1,0,10836
2011,2017,11,1,0,10788
2012,2017,11,1,0,11436
2013,2017,11,1,0,10248
2014,2017,11,1,0,11376
2015,2017,11,1,0,9072
2016,2017,11,1,0,17388
2003,2019,11,1,0,1317
2004,2019,11,1,0,1325
2005,2019,11,1,0,1356
2006,2019,11,1,0,1347
2007,2019,11,1,0,1315
2008,2019,11,1,0,963
2009,2019,11,1,0,876
2010,2019,11,1,0,903
2011,2019,11,1,0,899
2012,2019,11,1,0,953
2013,2019,11,1,0,854
2014,2019,11,1,0,948
2015,2019,11,1,0,756
2016,2019,11,1,0,1449
2017,2019,11,1,0,1512
2018,2019,11,1,0,1384
2008,2010,11,1,0,1926
2009,2010,11,1,0,1752
2003,2012,11,1,0,7902
2004,2012,11,1,0,7950
2005,2012,11,1,0,8136
2006,2012,11,1,0,8082
2007,2012,11,1,0,7890
2008,2012,11,1,0,5778
2009,2012,11,1,0,5256
2010,2012,11,1,0,5418
2011,2012,11,1,0,5394
2003,2013,11,1,0,6585
2004,2013,11,1,0,6625
2005,2013,11,1,0,6780
2006,2013,11,1,0,6735
2007,2013,11,1,0,6575
2008,2013,11,1,0,4815
2009,2013,11,1,0,4380
2010,2013,11,1,0,4515
2011,2013,11,1,0,4495
2012,2013,11,1,0,4765
2003,2014,11,1,0,2634
2004,2014,11,1,0,2650
2005,2014,11,1,0,2712
2006,2014,11,1,0,2694
2007,2014,11,1,0,2630
2008,2014,11,1,0,1926
2009,2014,11,1,0,1752
2010,2014,11,1,0,1806
2011,2014,11,1,0,1798
2012,2014,11,1,0,1906
2013,2014,11,1,0,1708
2003,2016,11,1,0,13170
2004,2016,11,1,0,13250
2005,2016,11,1,0,13560
2006,2016,11,1,0,13470
2007,2016,11,1,0,13150
2008,2016,11,1,0,9630
2009,2016,11,1,0,8760
2010,2016,11,1,0,9030
2011,2016,11,1,0,8990
2012,2016,11,1,0,9530
2013,2016,11,1,0,8540
2014,2016,11,1,0,9480
2015,2016,11,1,0,7560
2008,2010,12,1,0,963
2009,2010,12,1,0,876
2003,2012,12,1,0,9219
2004,2012,12,1,0,9275
2005,2012,12,1,0,9492
2006,2012,12,1,0,9429
2007,2012,12,1,0,9205
2008,2012,12,1,0,6741
2009,2012,12,1,0,6132
2010,2012,12,1,0,6321
2011,2012,12,1,0,6293
2003,2013,12,1,0,1317
2004,2013,12,1,0,1325
2005,2013,12,1,0,1356
2006,2013,12,1,0,1347
2007,2013,12,1,0,1315
2008,2013,12,1,0,963
2009,2013,12,1,0,876
2010,2013,12,1,0,903
2011,2013,12,1,0,899
2012,2013,12,1,0,953
2003,2016,12,1,0,1317
2004,2016,12,1,0,1325
2005,2016,12,1,0,1356
2006,2016,12,1,0,1347
2007,2016,12,1,0,1315
2008,2016,12,1,0,963
2009,2016,12,1,0,876
2010,2016,12,1,0,903
